model_key,eval_type,role_fidelity,style_consistency,context_relevance,multi_turn_consistency,immersion,fluency,ooc_rate,total,latency,tok_s,num_new_tokens,count,display_name
phi35_npc,multi_turn,3.257142857142857,3.257142857142857,3.257142857142857,3.257142857142857,3.257142857142857,3.257142857142857,0.22857142857142856,3.317142857142857,0.7760144874027798,305728.39835971064,10.834285714285715,70,Phi-3.5-mini + npc-dialogue
phi35_npc,single_turn,4.296875,4.296875,4.296875,4.296875,4.296875,4.317708333333333,0.0,4.369270833333333,0.8194873581329981,265638.58638951933,11.786458333333334,192,Phi-3.5-mini + npc-dialogue
qwen15_npc,multi_turn,3.3142857142857145,3.3142857142857145,3.3142857142857145,3.3142857142857145,3.3142857142857145,3.3142857142857145,0.3,3.332857142857143,0.8879230056490217,237154.7346719943,11.074285714285715,70,Qwen2.5-1.5B + npc-dialogue
qwen15_npc,single_turn,4.302083333333333,4.302083333333333,4.302083333333333,4.302083333333333,4.302083333333333,4.322916666666667,0.0,4.373958333333333,0.8468643153707186,250012.2763178878,11.041666666666666,192,Qwen2.5-1.5B + npc-dialogue
qwen15_roleplay,multi_turn,4.114285714285714,4.114285714285714,4.114285714285714,4.114285714285714,4.114285714285714,4.228571428571429,0.34285714285714286,4.042857142857143,3.7815562118802752,31442.86591544374,47.83428571428571,70,Qwen2.5-1.5B + roleplay
qwen15_roleplay,single_turn,4.828125,4.828125,4.828125,4.828125,4.828125,4.833333333333333,0.0,4.845833333333333,3.960656142483155,13.154604807271776,51.104166666666664,192,Qwen2.5-1.5B + roleplay
qwen3_npc,multi_turn,3.242857142857143,3.257142857142857,3.242857142857143,3.242857142857143,3.242857142857143,3.2857142857142856,0.4142857142857143,3.218571428571429,1.1771505512510028,351437.01030979876,10.491428571428571,70,Qwen2.5-3B + npc-dialogue
qwen3_npc,single_turn,4.369791666666667,4.369791666666667,4.369791666666667,4.369791666666667,4.369791666666667,4.401041666666667,0.0,4.4359375000000005,1.0513283759355545,291675.1777791273,9.473958333333334,192,Qwen2.5-3B + npc-dialogue
