model_key,eval_type,role_fidelity,style_consistency,context_relevance,multi_turn_consistency,immersion,fluency,ooc_rate,total,latency,tok_s,num_new_tokens,count,display_name
phi35_base,multi_turn,4.1,4.1,4.1,4.1,4.1,4.114285714285714,0.44285714285714284,3.9699999999999998,7.330040233475821,22.92604004730892,168.40571428571428,70,Phi-3.5-mini (base)
phi35_base,single_turn,4.895833333333333,4.895833333333333,4.895833333333333,4.895833333333333,4.895833333333333,4.90625,0.0625,4.876041666666667,5.027884582678477,23.43148938625457,117.984375,192,Phi-3.5-mini (base)
qwen15_base,multi_turn,3.557142857142857,3.557142857142857,3.557142857142857,3.557142857142857,3.557142857142857,3.585714285714286,0.5285714285714286,3.44,3.159778869492667,20.91170846704953,66.46,70,Qwen2.5-1.5B (base)
qwen15_base,single_turn,4.723958333333333,4.723958333333333,4.723958333333333,4.723958333333333,4.723958333333333,4.739583333333333,0.057291666666666664,4.724479166666667,4.039127570887406,21.013546114324203,84.04166666666667,192,Qwen2.5-1.5B (base)
qwen3_base,multi_turn,3.6,3.6,3.6,3.6,3.6,3.657142857142857,0.4,3.545714285714286,3.773234043802534,15.66096146508691,58.90285714285714,70,Qwen2.5-3B (base)
qwen3_base,single_turn,4.71875,4.71875,4.71875,4.71875,4.71875,4.723958333333333,0.0,4.747395833333333,2.790433661391338,15.962841113327032,44.729166666666664,192,Qwen2.5-3B (base)
